,Names,Price,Ratings,Features,Reviews,Images,Links
0,"APPLE iPhone 13 (Starlight, 128 GB)","₹52,499",4.7,128 GB ROM,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-starlight-128-gb/p/itmc9604f122ae7f?pid=MOBG6VF5ADKHKXFX&lid=LSTMOBG6VF5ADKHKXFXBT5ONJ&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBG6VF5ADKHKXFX.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
1,"APPLE iPhone 13 (Blue, 128 GB)","₹52,499",4.7,15.49 cm (6.1 inch) Super Retina XDR Display,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGTJUCOX&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBG6VF5SMXPNQHG.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
2,"APPLE iPhone 13 (Green, 128 GB)","₹52,499",4.7,12MP + 12MP | 12MP Front Camera,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZUXUVYB&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
3,"APPLE iPhone 13 (Starlight, 256 GB)","₹61,499",4.7,A15 Bionic Chip Processor,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-starlight-256-gb/p/itm37b8de852304e?pid=MOBG6VF5NFYJ8KQX&lid=LSTMOBG6VF5NFYJ8KQX7FK2GA&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBG6VF5NFYJ8KQX.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
4,"APPLE iPhone 13 (Midnight, 256 GB)","₹61,499",4.7,Brand Warranty for 1 Year,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-midnight-256-gb/p/itmfa27e6497b641?pid=MOBG6VF5AJGQ6HHE&lid=LSTMOBG6VF5AJGQ6HHEIDDQMK&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBG6VF5AJGQ6HHE.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
5,"APPLE iPhone 13 (Green, 256 GB)","₹61,499",4.7,128 GB ROM,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-green-256-gb/p/itm14914e5e84473?pid=MOBGC9VGPXQNTXDW&lid=LSTMOBGC9VGPXQNTXDWMOPMCI&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBGC9VGPXQNTXDW.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
6,"APPLE iPhone 13 (Pink, 256 GB)","₹61,499",4.7,15.49 cm (6.1 inch) Super Retina XDR Display,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-pink-256-gb/p/itmc5ee8ec6cd737?pid=MOBG6VF5XAMZ2FKX&lid=LSTMOBG6VF5XAMZ2FKX59OYTD&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBG6VF5XAMZ2FKX.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
7,"APPLE iPhone 13 (Blue, 256 GB)","₹61,499",4.7,12MP + 12MP | 12MP Front Camera,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-blue-256-gb/p/itmd68a015aa1e39?pid=MOBG6VF566ZTUVFR&lid=LSTMOBG6VF566ZTUVFR2RQLVU&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBG6VF566ZTUVFR.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
8,"APPLE iPhone 13 (Starlight, 512 GB)","₹69,999",4.7,A15 Bionic Chip Processor,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-starlight-512-gb/p/itm1d663e7a79e95?pid=MOBG6VF5G3NJDHJ2&lid=LSTMOBG6VF5G3NJDHJ2HEG9A3&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBG6VF5G3NJDHJ2.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
9,"APPLE iPhone 13 (Green, 512 GB)","₹69,999",4.7,Brand Warranty for 1 Year,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-green-512-gb/p/itmdd397c451bdae?pid=MOBGC9VGEZQUXGW5&lid=LSTMOBGC9VGEZQUXGW5GINKRW&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBGC9VGEZQUXGW5.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
10,"APPLE iPhone 13 (Pink, 512 GB)","₹69,999",4.7,128 GB ROM,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-pink-512-gb/p/itm3762edcc79946?pid=MOBG6VF5AS6QUQWX&lid=LSTMOBG6VF5AS6QUQWXXKELIA&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBG6VF5AS6QUQWX.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
11,"APPLE iPhone 13 ((PRODUCT)RED, 512 GB)","₹69,999",4.7,15.49 cm (6.1 inch) Super Retina XDR Display,"2,60,277 Ratings & 12,791 Reviews",https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/a/m/7/iphone-13-mlpj3hn-a-apple-original-imag6vpyk3w4zarg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-product-red-512-gb/p/itmf3f96f20817ae?pid=MOBG6VF56S584SAP&lid=LSTMOBG6VF56S584SAPGZ8HCU&marketplace=FLIPKART&q=iphone+13&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=0fd63420-e38c-42fe-8415-e6f48219910e.MOBG6VF56S584SAP.SEARCH&ppt=None&ppn=None&ssid=0h5qtla68w0000001696009176648&qH=c68a3b83214bb235
